STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,TAX,Income Tax,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,POL,Poland,TOP_TRATE,Top tax rates,2008,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,POL,Poland,TOP_TRATE,Top tax rates,2007,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,POL,Poland,TOP_TRATE,Top tax rates,2006,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,POL,Poland,TOP_TRATE,Top tax rates,2005,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,POL,Poland,TOP_TRATE,Top tax rates,2004,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,POL,Poland,TOP_TRATE,Top tax rates,2003,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,POL,Poland,TOP_TRATE,Top tax rates,2002,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,POL,Poland,TOP_TRATE,Top tax rates,2001,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,POL,Poland,TOP_TRATE,Top tax rates,2000,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,GBR,United Kingdom,TOP_TRATE,Top tax rates,2000,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,GBR,United Kingdom,TOP_TRATE,Top tax rates,2001,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,GBR,United Kingdom,TOP_TRATE,Top tax rates,2002,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,GBR,United Kingdom,TOP_TRATE,Top tax rates,2003,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,GBR,United Kingdom,TOP_TRATE,Top tax rates,2004,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,GBR,United Kingdom,TOP_TRATE,Top tax rates,2005,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,GBR,United Kingdom,TOP_TRATE,Top tax rates,2006,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,GBR,United Kingdom,TOP_TRATE,Top tax rates,2007,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,GBR,United Kingdom,TOP_TRATE,Top tax rates,2008,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,GBR,United Kingdom,TOP_TRATE,Top tax rates,2009,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,CHL,Chile,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2003,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,CHL,Chile,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2004,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,CHL,Chile,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2005,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,CHL,Chile,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2006,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,CHL,Chile,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2007,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,CHL,Chile,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2008,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,CHL,Chile,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2009,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,CHL,Chile,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2010,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,CHL,Chile,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2011,,40,,A,,PC,Percentage,0,Units,,
